model,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-5-pro-2025-10-06_unknown,2025-10-07,1.2199545893348398,1.0532747394047957,1.3923952371016994,158.99080885980695,153.6769820853002,165.8236490991587
gpt-5-pro-2025-10-06_high,2025-10-07,1.0139907076311503,0.8733954517381237,1.1453426943168787,154.3260017486644,149.88741989715402,159.79153656628725
gpt-5-2025-08-07_high,2025-08-07,0.9626535229528663,0.8581856222813526,1.0646010894157147,153.17866756784088,149.36149914036824,158.00755461382983
gpt-5-2025-08-07_unknown,2025-08-07,0.9369106731911925,0.8138132537081404,1.0563123730537312,152.59594392393146,148.627843793632,157.53962477667673
o3-pro-2025-06-10_high,2025-06-10,0.9263884993690188,0.7172776551358991,1.1448282255107234,152.35404353567674,146.9661817057986,158.90822036091302
o3-pro-2025-06-10,2025-06-10,0.5357132732654413,0.1147509696005599,0.9740994409100008,143.54771846676482,133.93563094070086,154.11898631269153
DeepSeek-R1-0528,2025-05-28,0.4198468369543609,0.29138394938396733,0.5521133752313792,140.9637338476315,137.67114004702285,144.66547118649677
o3-2025-04-16_unknown,2025-04-16,0.7598831623007657,0.5669513156231206,0.9289454290520143,148.56465344942757,143.7989950111923,153.81435279016594
o3-2025-04-16_high,2025-04-16,0.7684870280082134,0.6482909938707323,0.8873985047779476,148.81066650672483,145.2375128147148,153.15715605160776
gemini-2.5-pro-exp-03-25,2025-03-25,0.6732916903552535,0.5285805245362105,0.8227003903946329,146.66104073571717,142.85692374249533,151.22387640007003
o1-2024-12-17_high,2024-12-17,0.3956984191010089,0.26028795255436904,0.5382626402284183,140.42492317645187,136.99433337027477,144.2286687452327
o1-2024-12-17_medium,2024-12-17,0.3802477166030007,0.266187027362274,0.4993546331744119,140.07498245689382,137.13614066931262,143.39875826873975
o1-2024-12-17_unknown,2024-12-17,0.42731051613074306,0.2215076862263171,0.627397671667413,141.13296193024453,136.2794715000734,146.24897821468755
Llama-3.3-70B-Instruct,2024-12-06,-0.43241212928035466,-0.568173575160876,-0.30458358300610816,121.78721885051442,116.99172175920475,125.4771382290551
o1-mini-2024-09-12_high,2024-09-12,0.15564760858353666,-0.021002785606849997,0.34569816187570906,135.03494298804145,130.5931628181028,139.58147516645866
o1-preview-2024-09-12,2024-09-12,0.08383693071957488,-0.02438433392840537,0.1956410350727719,133.40659322136193,130.48477344874715,136.23774625728748
