name,mean,hdi_low,hdi_high
CTI-REALM,0.3427504928234141,0.13015578065705855,0.5676001759504361
PRBench,0.43693799401248157,0.2829196724544659,0.6017690227341221
WeirdML v2,0.557028598974727,0.2851117099594522,0.6415742354817281
The Agent Company,0.5906141063250157,-0.04382768849203753,0.9776028094280048
GDPval,0.6859715442514742,0.26239600429380744,1.1449813255415582
AudioMultiChallenge,0.7240795255352293,0.49292137159761873,1.0378451918541989
Balrog,0.8115985298559452,0.5919880331759202,0.9545793203833702
DrugDiscoveryBench,0.8495604557278985,0.5542429718005593,1.3469703185626554
AISI CTF Suites - Apprentice,0.9088988042197745,0.4887725014226695,1.152133569657931
Surface Evolver Bench,0.9113978994965746,0.4254528245822187,1.4083263918503943
SimpleQA Verified,0.9924082861153074,0.8032540479453829,1.1723002345067863
Cybench,1.0246418649827929,0.5125028675781754,1.2524300651349458
Terminal Bench 2.0,1.2003139093052257,0.8217320731211304,1.4400485322517773
BioLP-bench,1.2200861272378027,0.7068441822420891,1.440675908080313
LMCA,1.2347232688828647,1.026451251110354,1.3046187152900068
SWE Atlas,1.3025352916426787,0.9272048392112827,1.7611159198005957
MultiNRC,1.3285638553203247,1.0141832840370613,1.4793904176082824
DeepSWE,1.41682908311663,0.9187892968108802,1.9295801418041458
OEIS Open Lite,1.5654424776099596,0.8150261969359354,2.5899723520597515
FrontierCode,1.6244630597470286,1.2940261586827655,1.9788767556359812
PostTrainBench v1.1,1.7664194428259647,1.1784076136981485,2.4590430416464253
CL-bench,1.8029770710154076,1.6242803438018747,2.0035321372406387
AISI CTF Suites - Expert,1.8514313708219938,1.2957660664916952,2.3756761773171284
FrontierMath Tiers 1-3 v2,1.9185840780144439,1.4631217223295596,2.110179395113684
ExploitBench,2.042383979643108,1.5114066057844529,2.5846680896396776
MirrorCode,2.0463502688259005,1.0533532922600057,3.7538536222494994
AISI Cyber Ranges - The Last Ones,2.087585975322299,1.5844099340784363,2.5786815097319584
Mystery Game Puzzles,2.1975001862091226,1.9359665912607646,2.4216071324287096
CL-bench Life,2.2842775743822097,1.9869098922083823,2.636673297945687
HLE,2.2913076844988174,1.9667898177927365,2.4608811958421297
GDP.pdf,2.370282389955192,2.105566598811232,2.6632671879933794
Chess Puzzles,2.374947053286176,2.0650485134542187,2.5283665098793553
GBAEval,2.3755396110014706,1.3342927009443166,3.6813863962134175
BlueprintBench 2,2.4809406512106036,1.7322625532659737,3.312551686968242
AISI CTF Suites - Practitioner,2.4827166361310566,0.36415313001152594,3.805070798384173
APEX-Agents,2.4995596220141807,2.21469056388083,2.7508824470316005
VisualToolBench,2.963876756036877,2.523203895480772,3.3190299124936002
GSO-Bench,2.965543892045182,2.529647191851434,3.3530002503296705
ProofBench,3.0167812919863133,2.309390313011541,3.734214580423105
EBR-bench,3.115837287462246,1.9543963098490578,4.282908988070951
FrontierSWE v2,3.2101788044422808,1.8675866406214807,4.332218757849285
OSWorld 2.0,3.3464348470188465,2.5647599329870587,4.097661326375201
EnigmaEval,3.3467843326167324,2.966425247450974,3.629928055222252
AISI Cyber Ranges - Cooling Tower,3.558793270192295,2.4905477306700012,4.866847410965174
CritPt,4.026719205523179,3.6832971318832963,4.281568809381586
Remote Labor Index,4.267062815681217,3.4974915669840314,4.9237499283343
CyScenarioBench,4.331501204376901,2.5635957904331437,6.11614487089524
FrontierMath Tier 4 v2,4.6108939923322545,3.876567647300709,5.1934122705490635
FrontierMath Erdos,5.469630169856809,4.015995214708695,7.017272112711415
