model,release_date,C_mean,C_hdi_low,C_hdi_high,ECI_mean,ECI_hdi_low,ECI_hdi_high
gpt-5.5-pro-pre-release_xhigh,2026-04-23,1.7040138862707679,1.2816312805352603,2.2095378136854094,168.66563130647313,159.14773065007668,181.72410637506906
claude-mythos-preview,2026-04-07,2.2649952402418796,1.911495617512678,2.6853327589373257,179.42123369005324,169.66050286951395,193.2905935415742
claude-mythos-preview-early,2026-04-06,1.7154104378863049,1.4590798295838763,1.9866138369889752,168.8078136687273,161.7927003075232,178.5776277301866
gpt-5.4-pro-2026-03-05_xhigh,2026-03-05,1.5769289627083154,1.35570192990842,1.7953168264283215,166.15662814127478,159.7279006335727,175.05147441938144
gemini-3.1-pro-preview_high,2026-02-19,1.259561111572298,0.997226014376659,1.491718538648308,159.97710736373162,154.1042063345236,168.10759756500548
gemini-3.1-pro-preview,2026-02-19,1.247952732838627,1.0519259862906374,1.3728133394473958,159.68248566677732,154.83675646513603,166.26045431316172
claude-opus-4-6,2026-02-05,0.8348247575492993,0.5985658601141477,1.0384924143005314,151.8942765965602,147.01238802331838,157.80591197520104
gpt-5.3-codex_xhigh,2026-02-05,1.219984947432857,0.8103819093434103,1.6729037688603088,159.3417195428645,150.8944026299969,170.1381266411336
claude-opus-4-6_high,2026-02-05,1.4246849616652681,1.118631082328068,1.7133077693538628,163.2177203301258,156.20954224835552,172.3227646623411
gpt-5.3-codex,2026-02-05,1.2001252460302405,0.9909672042921519,1.3600240353661672,158.8035464236354,153.8481570488145,165.5359678670863
mistral-large-2512,2025-12-02,-0.43019155496544204,-0.8377487262918943,-0.07483879532519731,127.6867892562267,120.07429970821704,134.37975417714068
gpt-5-2025-08-07_high,2025-08-07,0.8764778137709528,0.681175033206999,1.0128377795285923,152.62223813035442,148.5827795760688,157.76644160466753
gpt-5-pro-2025-10-06_unknown,2025-08-07,1.1707581164425234,0.9347128575579984,1.3760900548023456,158.29645113963483,152.83789014731946,165.4507767940268
gpt-5-2025-08-07,2025-08-07,0.5507525593080363,0.033151342678840665,1.2564728630447553,146.37482388908646,136.53152918156707,161.6098441719934
o3-pro-2025-06-10,2025-06-10,0.31312469454215125,-0.25221788439573306,0.8682014510041461,141.98349774942528,130.99361244647676,153.07163719842814
o3-pro-2025-06-10_high,2025-06-10,0.8003461644876735,0.5555556601528633,1.0092720777302555,151.20675122438428,146.569728477074,157.01141419135826
DeepSeek-R1-0528,2025-05-28,0.24696240613307902,0.002144297711351567,0.4049148287503311,140.47649910045473,137.20699960085184,144.1357723106238
o3-2025-04-16_medium,2025-04-16,0.6145698472816006,0.3847348838534234,0.7441239705091042,147.47252320730234,144.13254431039752,151.7713047064486
o3-2025-04-16_high,2025-04-16,0.665843463006164,0.4487914195083891,0.7941240078324302,148.49313543727808,144.94496644283873,152.9916422760748
o3-2025-04-16,2025-04-16,0.5585912803803141,0.056446513864022406,1.247767885596192,146.49079950064728,136.60844476421988,161.5083419889739
gemini-2.5-pro-exp-03-25,2025-03-25,0.5252546925903336,0.2685014876727583,0.7341567915910313,145.90131496089802,141.77036074028425,151.0102055198706
claude-3-7-sonnet-20250219_thinking,2025-02-24,0.20285636492456766,-0.1252816919031778,0.4741936169682558,139.75511368654315,134.17292635903132,145.29247137753646
Llama-3.3-70B-Instruct,2024-12-06,-0.6748403783670196,-1.037237709795124,-0.504854126749075,122.55852008100607,117.76583399511308,126.36469251988385
o1-2024-12-17_high,2024-12-05,0.1557384261341877,-0.10170313044465612,0.3156533356836222,138.73000789052486,135.39486507617335,142.22293011209484
o1-2024-12-17,2024-12-05,0.3340217086658913,-0.1603413573004722,0.9771511920474324,142.16613100414457,133.02500964183852,155.96282733258323
o1-mini-2024-09-12,2024-09-12,-0.32203218605485884,-0.7845241957381868,0.18165244208457346,129.56352142301373,120.9851568574615,140.57621199403727
o1-mini-2024-09-12_medium,2024-09-12,-0.22271378009311976,-0.5203068487330298,-0.03528767411358256,131.42501070411146,127.42301447942671,135.14707166556735
o1-preview-2024-09-12,2024-09-12,-0.11308362238174972,-0.38606695071294994,0.019360694158902136,133.42190691077062,130.61363173626202,136.1689053892142
