scope,quantity,unit,median,frac_undefined,hdi50_low,hdi50_high,hdi80_low,hdi80_high
public,gap_today,ECI-H,23.117159702843907,0.0,20.777743554608357,25.67060266498082,18.664141233730714,27.78278452963946
public,gap_today_minus_all,ECI-H,-0.06465575609145446,0.0,-2.789252547191687,2.7504268810411006,-5.336002563122702,5.366705023403716
semi_private,gap_today,ECI-H,16.693631803598223,0.0,14.866591271380436,18.631961788879686,12.88849250685142,20.4700409390485
semi_private,gap_today_minus_all,ECI-H,-6.492443450486007,0.0,-8.968474209501522,-4.0021929656198125,-11.287181978522174,-1.9579720276796284
private,gap_today,ECI-H,15.32613278832072,0.0,12.571837885656556,18.037319384724682,10.00591163948002,20.51572040087032
private,gap_today_minus_all,ECI-H,-7.952945545396673,0.0,-11.124542234512084,-4.8907335902679065,-13.619607310658976,-2.1339330837673867
all,lag_today,months,16.662666247479365,0.0,15.052795253488625,18.532297859882043,13.745822975019848,20.28226639328877
public,lag_today,months,16.590147414006033,0.0,14.157557468405935,19.3513622824901,12.178652347296298,22.333363409832586
public,lag_today_minus_all,months,-0.14935603151342214,0.0,-3.144155045588757,3.153629469236623,-5.648152453416962,6.28853061572116
semi_private,lag_today,months,11.045980608504255,0.0,9.483340824184626,12.909113605811658,7.961189336064143,14.921642415501195
semi_private,lag_today_minus_all,months,-5.588953367331194,0.0,-8.034236710057407,-3.118982480118342,-10.375746035187822,-0.9082178403816014
private,lag_today,months,9.4758370354903,0.0,7.362455099616977,11.611561454263503,5.699949673372743,13.89563676762522
private,lag_today_minus_all,months,-7.335781256450754,0.0,-10.042753178588816,-4.669045676743675,-12.259771603829547,-2.126121486061772
all,envelope_lag_latest_record,months,3.3182751540034587,0.0,3.2854209445586093,3.3182751540034587,3.2854209445586093,5.289527720738079
public,envelope_lag_latest_record,months,5.289527720738079,0.0,5.289527720738079,7.885010266941208,4.8295687885020016,11.268993839837094
public,envelope_lag_latest_record_minus_all,months,2.0041067761794693,0.0,1.97125256673462,4.402464065708045,0.0328542094448494,7.950718685833635
semi_private,envelope_lag_latest_record,months,2.759753593430105,0.0006249999999999867,2.759753593430105,2.759753593430105,1.2156057494867127,4.369609856263196
semi_private,envelope_lag_latest_record_minus_all,months,-0.5585215605733538,0.0006249999999999867,-2.0698151950718966,-0.5256673511285044,-2.5297741273079737,1.0841889117045866
private,envelope_lag_latest_record,months,5.289527720740807,0.0006249999999999867,3.679671457907716,15.901437371664542,2.135523613964324,16.6242299794676
private,envelope_lag_latest_record_minus_all,months,1.0841889117073151,0.0006249999999999867,-0.0657084188896988,10.973305954827993,-1.6164271047198797,13.305954825464141
all,envelope_lag_last_12m_mean,months,7.213845702552654,0.0,6.580228806102241,8.007040187739092,6.087415664418586,9.46201232032945
public,envelope_lag_last_12m_mean,months,8.344969199179605,0.0,7.572895277207908,9.143326488706498,6.944394250514324,10.181848049282225
public,envelope_lag_last_12m_mean_minus_all,months,0.98679964799034,0.0,-0.15840422411335364,2.1467879143443627,-1.7399119976534878,3.3042886476970623
semi_private,envelope_lag_last_12m_mean,months,6.181284834262962,0.0,5.673217952479231,6.711645643884465,5.25667351129436,7.252332062189571
semi_private,envelope_lag_last_12m_mean_minus_all,months,-1.0302141390432418,0.0,-2.0698151950712145,-0.28160750953390745,-3.531358169550913,0.49281314168377194
private,envelope_lag_last_12m_mean,months,10.850102669405715,0.0,10.147843942506029,11.95585215605874,9.490349075976315,12.551950718686841
private,envelope_lag_last_12m_mean_minus_all,months,3.571135230273025,0.0,2.429598122616844,4.7606336168970325,0.9123496626580176,5.72132590202477
