axis,tier,human_mean,human_hdi_low,human_hdi_high,crossover_date_median,crossover_hdi_low,crossover_hdi_high,p_passed_now,frac_positive_slope,status,hdi80_low,hdi80_high,scope
Open-weights models · semi-private benchmarks,High School Top Performer,155.1327550727131,150.4331137046257,161.00046503408916,2026-06-22 03:48:15.042947146,2026-02-08 06:20:01.443843205,2026-09-05 21:55:59.095095450,0.68125,1.0,passed_mean,2025-12-05 15:48:38.052840602,2026-12-31 01:49:39.201759220,semi_private
Open-weights models · semi-private benchmarks,Domain Expert,157.07957508714895,153.38915165538893,161.54898830006115,2026-07-26 14:43:48.450794557,2026-04-03 06:02:09.965059932,2026-09-12 17:15:52.443351918,0.63925,1.0,passed_mean,2026-01-31 01:05:00.946488102,2026-12-25 14:05:39.779410689,semi_private
Closed models · private benchmarks,Skilled Generalist,157.87543727793695,152.3802901794675,164.20319749372482,2026-02-10 04:46:25.617243892,2025-10-29 13:35:13.386450828,2026-04-30 02:49:21.769601972,0.90675,1.0,passed_mean,2025-08-26 02:20:44.525805380,2026-08-09 22:52:11.484765552,private
Closed models · private benchmarks,Average Human,164.88000598018402,160.7532482483677,170.24029504553562,2026-05-30 03:37:18.216997386,2026-02-15 23:51:07.662875201,2026-07-15 01:32:54.343121504,0.784,1.0,passed_mean,2026-01-02 10:06:07.009152969,2026-10-27 21:58:47.096789145,private
Closed models · private benchmarks,Committee of Domain Experts,178.42682240797228,170.98022797437417,187.74806748134384,2026-12-21 19:18:19.372210148,2026-07-05 02:43:47.463103781,2027-03-29 03:32:22.596945717,0.2955,1.0,future,2026-03-19 19:59:12.621910908,2027-08-21 22:02:08.844678648,private
Closed models · private benchmarks,Top Performer,192.70940617053176,185.0590397362952,203.1576575408151,2027-07-26 22:44:11.817348835,2027-01-16 13:27:13.877602018,2027-10-21 05:47:26.598975434,0.02325,1.0,future,2026-10-07 09:04:13.746684607,2028-04-16 06:22:03.831545015,private
Open-weights models · private benchmarks,Skilled Generalist,157.87543727793695,152.3802901794675,164.20319749372482,2026-10-07 08:40:39.017920267,2026-05-28 11:24:44.547656685,2027-01-04 17:39:05.639844726,0.44025,1.0,future,2026-02-26 04:12:23.607711576,2027-04-29 06:23:43.485238737,private
Open-weights models · private benchmarks,Average Human,164.88000598018402,160.7532482483677,170.24029504553562,2027-02-15 12:34:33.032641552,2026-10-14 09:40:42.825798180,2027-04-17 14:08:11.114179068,0.09675,1.0,future,2026-08-11 09:20:52.571928511,2027-08-19 12:21:50.298302684,private
Open-weights models · private benchmarks,Committee of Domain Experts,178.42682240797228,170.98022797437417,187.74806748134384,2027-10-29 07:29:40.355894497,2027-03-18 01:14:55.882678663,2028-02-17 14:06:37.392531569,0.0175,1.0,future,2026-12-27 12:02:30.200508764,2028-10-08 05:42:25.853332973,private
Open-weights models · private benchmarks,Top Performer,192.70940617053176,185.0590397362952,203.1576575408151,2028-07-15 17:52:14.872935169,2027-12-15 06:58:20.694681958,2028-11-24 20:18:06.434237278,0.0,1.0,future,2027-08-22 09:21:57.922711741,2029-07-11 12:04:35.313825694,private
