model,axis,n_obs,is_human,is_sota,is_low_obs,chained,informed,release_date,mean,median,sd,chain_split,outside_50,outside_50_central,lump_lo,lump_hi,hi_share,sum_spread,axis_spread,ridge_ratio,lump_gap
claude-1.3,axis4,2,False,False,True,False,False,2023-04-18 00:00:00,0.5358147640738814,0.5730019233925894,0.7798896419554698,False,False,False,,,,0.0443107214485708,0.1137801829805907,0.38944146764230103,
claude-2.0,axis1,5,False,False,False,False,False,2023-07-11 00:00:00,1.0642020516442692,1.0787983852400482,0.6774172351497212,False,False,False,,,,0.05031404654757426,0.2087409883442593,0.24103577810312676,
claude-2.0,axis2,5,False,False,False,False,False,2023-07-11 00:00:00,-0.8773710102488663,-0.8837541985348212,0.5643893956986783,False,False,False,,,,0.05031404654757426,0.2087409883442593,0.24103577810312676,
claude-2.0,axis3,5,False,False,False,False,False,2023-07-11 00:00:00,-0.43398067005016205,-0.43458215961460583,0.6466006088845445,False,False,False,,,,0.05031404654757426,0.2087409883442593,0.24103577810312676,
claude-2.0,axis4,5,False,False,False,False,False,2023-07-11 00:00:00,0.5844692693145728,0.638592341172453,0.8194423020416898,False,False,False,,,,0.05031404654757426,0.2087409883442593,0.24103577810312676,
claude-2.1,axis1,5,False,False,False,False,False,2023-11-21 00:00:00,0.5702675408587974,0.5863032719152222,0.645653799904399,False,False,False,,,,0.0424745639017378,0.03807565951573061,1.115530615672982,
claude-2.1,axis2,5,False,False,False,False,False,2023-11-21 00:00:00,-0.9039207436328315,-0.904917950415628,0.5938064349355572,False,False,False,,,,0.0424745639017378,0.03807565951573061,1.115530615672982,
claude-2.1,axis3,5,False,False,False,False,False,2023-11-21 00:00:00,0.012608559568886757,0.02396705913523607,0.6882624711283619,False,False,False,,,,0.0424745639017378,0.03807565951573061,1.115530615672982,
claude-2.1,axis4,5,False,False,False,False,False,2023-11-21 00:00:00,-0.6199736144213024,-0.6169115132556906,0.730122835734095,False,False,False,,,,0.0424745639017378,0.03807565951573061,1.115530615672982,
claude-3-5-haiku-20241022,axis1,15,False,False,False,True,True,2024-10-22 00:00:00,0.5214225449118128,0.5346383011143541,0.2834958006739119,False,False,False,,,,0.05437068939074148,0.10832332445923584,0.5019296597678021,
claude-3-5-haiku-20241022,axis2,15,False,False,False,True,True,2024-10-22 00:00:00,-0.43062408756763754,-0.42667319314903407,0.21890343288751113,False,False,False,,,,0.05437068939074148,0.10832332445923584,0.5019296597678021,
claude-3-5-haiku-20241022,axis3,15,False,False,False,True,True,2024-10-22 00:00:00,0.1330448433924105,0.10820749994215612,0.27945052958667616,False,False,False,,,,0.05437068939074148,0.10832332445923584,0.5019296597678021,
claude-3-5-haiku-20241022,axis4,15,False,False,False,True,True,2024-10-22 00:00:00,0.649564152075192,0.6512059133315573,0.386488888059921,False,False,False,,,,0.05437068939074148,0.10832332445923584,0.5019296597678021,
claude-3-5-sonnet-20240620,axis1,30,False,False,False,True,True,2024-06-20 00:00:00,1.1993719581389397,1.2018825278403653,0.23306387215948504,False,False,False,,,,0.051843969441146456,0.01667210960360193,3.1096226376742275,
claude-3-5-sonnet-20240620,axis2,30,False,False,False,True,True,2024-06-20 00:00:00,-0.46244949582161304,-0.461370314397225,0.16926600923817683,False,False,False,,,,0.051843969441146456,0.01667210960360193,3.1096226376742275,
claude-3-5-sonnet-20240620,axis3,30,False,False,False,True,True,2024-06-20 00:00:00,0.4236520958214094,0.41863243173876874,0.2115296144483056,False,False,False,,,,0.051843969441146456,0.01667210960360193,3.1096226376742275,
claude-3-5-sonnet-20240620,axis4,30,False,False,False,True,True,2024-06-20 00:00:00,0.5453514878155862,0.541666288406364,0.2753901476247705,False,False,False,,,,0.051843969441146456,0.01667210960360193,3.1096226376742275,
