name,mean,hdi_low,hdi_high
AudioMultiChallenge,0.7492303470872037,0.5710882054387548,1.0032711575844753
WeirdML,0.8167024960551004,0.7287472363992984,0.906105859436523
BALROG,0.9503352240309549,0.8358928747640078,1.0704987534456685
CursorBench,0.9573786447761125,0.6549779524236544,1.2572468305784812
The Agent Company,1.005175328162386,0.723206098363882,1.271161986152506
SimpleQA Verified,1.1315886719451793,0.9417781952197192,1.3331992331594906
GDPval,1.1832237313416591,0.784419152647596,1.6666129116599182
Surface Evolver Bench,1.365426320437551,0.8240618651228793,1.9187336162968744
Cybench,1.4280305951330488,1.134376590959684,1.7253481390895875
SWE-Bench Pro,1.445159274200022,1.171153128255712,1.7348861997039011
TerminalBench,1.5334806485185837,1.2652044959395872,1.8134788093619838
BioLP-bench,1.603881637429076,1.412113169282754,1.784288276936533
Mystery Game Puzzles,1.6082244497058436,1.2667765341004447,2.0547379907298167
MultiNRC,1.6339393177156354,1.4585674419983703,1.8078227084993843
FrontierCode,1.6824649388076764,1.2188400486072666,2.202829128215492
EBR-bench,1.9252856926089956,1.2210999907573596,2.958675115063109
CL-Bench,1.9392803070425553,1.719235168523732,2.154998508806395
FrontierMath,2.1556427754258074,1.8666635802859612,2.4574535863249003
Chess Puzzles,2.357947788028646,2.1363888751287847,2.577668584146388
CL-Bench Life,2.369506075387979,2.0370160604057275,2.73005035100906
GBAEval,2.4346024277466856,1.2607225096639594,4.187346589066703
PostTrainBench,2.5704047835029114,2.232202338322814,2.9192062949732596
DeepSWE,2.6042736250936853,1.937907695403991,3.2380136520385268
SWE-Bench Pro (Private),2.604601117836074,2.051155030553797,3.1493542085326576
GDP.pdf,2.6540887337401156,2.117659622631978,3.1884841928810035
Humanity's Last Exam,2.6815683826921304,2.498959311755368,2.8672005904641207
ExploitBench,2.7024347908429105,2.0287780633700105,3.3230897637047034
APEX Agents,2.8324703281504284,2.537567269941757,3.1043565840343432
BlueprintBench 2,3.000539469057146,2.0866249744511003,4.067515487893033
OS World 2,3.2515630632476515,2.4609045985790856,4.24457350863851
ProofBench,3.3111999774157104,2.7165889723620564,3.915699428554851
GSO-Bench,3.3688000791056387,2.9228450828981556,3.8041966038492117
VisualToolBench,3.5999613359660882,3.2401429546164295,3.9364902356071396
EnigmaEval,3.8428370024288343,3.575096143147102,4.107689611618762
Remote Labor Index,4.212802665309422,3.340763720378652,5.186907819063282
CritPt,4.723128660318073,4.422055143163871,5.0135995008871355
