kind,name,keep,drop,delta,sd,z,n_obs,vs
theta_norm,DeepSeek-R1-Distill-Llama-70B,1.590530073201755,1.609320687429406,0.018790614227651,0.5380622415665367,0.0349227520090301,4,keepA_vs_dropA
theta1,DeepSeek-R1-Distill-Qwen-14B,0.0173575220145556,0.047605322047321,0.0302478000327653,0.9122341926734758,0.0331579327717572,2,keepA_vs_dropA
theta2,DeepSeek-R1-Distill-Qwen-14B,0.0293767441937344,-0.2744891872965125,-0.3038659314902469,0.977534790405376,-0.3108492244702985,2,keepA_vs_dropA
theta3,DeepSeek-R1-Distill-Qwen-14B,-0.5740569481806215,-0.3085889997250231,0.2654679484555983,1.0581308856370018,0.250883848169487,2,keepA_vs_dropA
theta_norm,DeepSeek-R1-Distill-Qwen-14B,1.6125467485039604,1.6207106604260122,0.0081639119220517,0.7386833782566374,0.0110519772914335,2,keepA_vs_dropA
theta1,DeepSeek-R1-Distill-Qwen-32B,-0.179201534626292,-0.1734377217278298,0.0057638128984621,0.7166273454267894,0.0080429709182106,2,keepA_vs_dropA
theta2,DeepSeek-R1-Distill-Qwen-32B,-0.1535213869343309,-0.0978333611406985,0.0556880257936324,0.7511705102452323,0.0741350000221016,2,keepA_vs_dropA
theta3,DeepSeek-R1-Distill-Qwen-32B,-0.102356748521588,-0.1188287366389514,-0.0164719881173634,0.8107681222232743,-0.0203165216612047,2,keepA_vs_dropA
theta_norm,DeepSeek-R1-Distill-Qwen-32B,1.1840780231108623,1.2238417376588864,0.0397637145480238,0.5875438266529242,0.0676778697081149,2,keepA_vs_dropA
theta1,DeepSeek-R1_high,0.5096687959898013,0.4778043788607233,-0.031864417129078,0.9125029704636914,-0.0349197955080474,1,keepA_vs_dropA
theta2,DeepSeek-R1_high,0.4333203862036395,0.3877392864742754,-0.045581099729364,0.9509724679193072,-0.0479310403476704,1,keepA_vs_dropA
theta3,DeepSeek-R1_high,0.3322259925636729,0.4395952684684819,0.1073692759048089,0.9540905545715274,0.112535728805142,1,keepA_vs_dropA
theta_norm,DeepSeek-R1_high,1.6751273211327304,1.6790090067485035,0.003881685615773,0.6321633986647416,0.0061403200880847,1,keepA_vs_dropA
theta1,DeepSeek-V2,-0.3413153577052349,-0.3453937853844042,-0.0040784276791693,0.6324671240458362,-0.0064484421784329,7,keepA_vs_dropA
theta2,DeepSeek-V2,-0.3150673400262061,0.0961026262842784,0.4111699663104845,0.7158815726672538,0.5743547285042339,7,keepA_vs_dropA
theta3,DeepSeek-V2,0.44910110644295,0.0663095143656193,-0.3827915920773306,0.7797686139601445,-0.4909040774714945,7,keepA_vs_dropA
theta_norm,DeepSeek-V2,1.3310046832065996,1.2868072678132865,-0.0441974153933131,0.2863729116096609,-0.1543351818609023,7,keepA_vs_dropA
theta1,DeepSeek-V2.5,-0.1787212191107553,-0.1761330824093298,0.0025881367014254,0.5303134701143218,0.00488039027345,1,keepA_vs_dropA
theta2,DeepSeek-V2.5,-0.1697472362138123,0.1767108051557814,0.3464580413695937,0.6085286610649477,0.5693372613925518,1,keepA_vs_dropA
theta3,DeepSeek-V2.5,0.460171441702059,0.1479445712916203,-0.3122268704104386,0.6659440722957597,-0.4688484865314217,1,keepA_vs_dropA
theta_norm,DeepSeek-V2.5,1.099110814883478,1.0578581749424842,-0.0412526399409938,0.3313486462043629,-0.1244991956766613,1,keepA_vs_dropA
theta1,DeepSeek-V3,0.1286169762054667,0.130731732042102,0.0021147558366353,0.4216150910579431,0.0050158447396388,33,keepA_vs_dropA
theta2,DeepSeek-V3,0.139175711138877,0.4326793433077212,0.2935036321688442,0.4989800176159681,0.5882071862740094,33,keepA_vs_dropA
theta3,DeepSeek-V3,0.6909111984785399,0.4182528710869418,-0.272658327391598,0.5476917623387685,-0.4978317114489452,33,keepA_vs_dropA
theta_norm,DeepSeek-V3,1.084051310419892,1.0623719033924222,-0.0216794070274699,0.1451207560708125,-0.1493887408972108,33,keepA_vs_dropA
theta1,DeepSeek-V3-0324,0.3183534966969486,0.3225804399727671,0.0042269432758185,0.2877219300381781,0.0146910709074474,12,keepA_vs_dropA
theta2,DeepSeek-V3-0324,0.3121634893166736,0.4894943317366304,0.1773308424199567,0.3317700916327273,0.5344991814881966,12,keepA_vs_dropA
theta3,DeepSeek-V3-0324,0.6132735677463398,0.4770947122578233,-0.1361788554885164,0.3610247045967829,-0.3772009332176043,12,keepA_vs_dropA
theta_norm,DeepSeek-V3-0324,0.918796733053212,0.9383020684731634,0.0195053354199514,0.1843525685736859,0.1058045221222679,12,keepA_vs_dropA
theta1,DeepSeek-V3-Base,0.1286169762054667,0.130731732042102,0.0021147558366353,0.4216150910579431,0.0050158447396388,1,keepA_vs_dropA
theta2,DeepSeek-V3-Base,0.139175711138877,0.4326793433077212,0.2935036321688442,0.4989800176159681,0.5882071862740094,1,keepA_vs_dropA
theta3,DeepSeek-V3-Base,0.6909111984785399,0.4182528710869418,-0.272658327391598,0.5476917623387685,-0.4978317114489452,1,keepA_vs_dropA
theta_norm,DeepSeek-V3-Base,1.084051310419892,1.0623719033924222,-0.0216794070274699,0.1451207560708125,-0.1493887408972108,1,keepA_vs_dropA
theta1,DeepSeek-V3.1,0.4009227670305157,0.4082000032011572,0.0072772361706414,0.2849486092893871,0.0255387671088819,8,keepA_vs_dropA
theta2,DeepSeek-V3.1,0.3622943226034851,0.4720023467959837,0.1097080241924985,0.3147553110029569,0.3485501923475659,8,keepA_vs_dropA
theta3,DeepSeek-V3.1,0.5227527196717802,0.4857566320080851,-0.036996087663695,0.3245242456563652,-0.1140009973334002,8,keepA_vs_dropA
theta_norm,DeepSeek-V3.1,0.9010873454947133,0.9299721986985532,0.02888485320384,0.2061530011039477,0.1401136682423339,8,keepA_vs_dropA
theta1,DeepSeek-V3.1_thinking,0.4407663366721054,0.4351895976156849,-0.0055767390564205,0.3118053007434003,-0.0178853247302872,1,keepA_vs_dropA
theta2,DeepSeek-V3.1_thinking,0.3961385681643498,0.4926916170389243,0.0965530488745745,0.3313805618534228,0.2913660606239243,1,keepA_vs_dropA
theta3,DeepSeek-V3.1_thinking,0.5413703266642952,0.5145925958801552,-0.02677773078414,0.3381176610044388,-0.0791964865265896,1,keepA_vs_dropA
theta_norm,DeepSeek-V3.1_thinking,0.9628234547007712,0.9778212813701396,0.0149978266693683,0.2244749443336205,0.066812920764458,1,keepA_vs_dropA
theta1,DeepSeek-V3.2-Exp,0.6318036414919582,0.616282031837976,-0.0155216096539821,0.323159425961124,-0.0480308120606992,2,keepA_vs_dropA
theta2,DeepSeek-V3.2-Exp,0.5484681072655571,0.5463353406580151,-0.0021327666075419,0.3308354513371346,-0.0064466084239821,2,keepA_vs_dropA
theta3,DeepSeek-V3.2-Exp,0.4878733705746872,0.6038286306639238,0.1159552600892365,0.3307015328195222,0.3506341778963518,2,keepA_vs_dropA
theta_norm,DeepSeek-V3.2-Exp,1.136148083103236,1.1343889355275396,-0.0017591475756963,0.1576909936607502,-0.0111556629510557,2,keepA_vs_dropA
theta1,DeepSeek-V3.2-Exp_thinking,0.627143695500643,0.6095859771742271,-0.0175577183264158,0.3329692345965752,-0.052730752580456,4,keepA_vs_dropA
theta2,DeepSeek-V3.2-Exp_thinking,0.5298099718163212,0.5325757785970169,0.0027658067806957,0.3343727701974187,0.0082716268404952,4,keepA_vs_dropA
theta3,DeepSeek-V3.2-Exp_thinking,0.4966467829926245,0.6086599006279402,0.1120131176353156,0.3350998715774429,0.3342678620198425,4,keepA_vs_dropA
theta_norm,DeepSeek-V3.2-Exp_thinking,1.1400021216726062,1.127249021741344,-0.0127530999312621,0.1516586973263541,-0.0840907917322986,4,keepA_vs_dropA
theta1,DeepSeek-V3.2-Speciale,0.719609265383913,0.6894946837569381,-0.0301145816269748,0.4082934453974685,-0.0737572007742096,2,keepA_vs_dropA
