,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"theta_t_zerosum__[0, 355]",0.161346,0.319165,-0.468713,0.733878,0.003807,0.004639,7238.115503,4947.942091,1.000256
"theta_t_zerosum__[0, 356]",0.845519,0.459567,-0.000955,1.705865,0.005242,0.006642,8076.002809,4980.515974,1.000273
"theta_t_zerosum__[0, 357]",0.689092,0.467075,-0.22083,1.555857,0.005784,0.007476,7602.827096,4402.535047,1.000959
"theta_t_zerosum__[0, 358]",0.818744,0.257158,0.335585,1.296294,0.002441,0.003084,11118.567818,5982.078093,1.000441
"theta_t_zerosum__[0, 359]",-0.404255,0.310675,-0.992854,0.162311,0.002873,0.003906,11873.04146,6058.973279,1.000932
"theta_t_zerosum__[0, 360]",-0.089536,0.1734,-0.427394,0.227086,0.001605,0.002025,11723.111054,6217.846202,1.000421
"theta_t_zerosum__[0, 361]",-0.528802,0.128103,-0.766623,-0.288918,0.001739,0.001692,5732.490554,4677.771736,1.000226
"theta_t_zerosum__[0, 362]",-0.779602,0.16264,-1.088342,-0.477368,0.001793,0.002398,8494.560087,5317.311449,1.000389
"theta_t_zerosum__[0, 363]",-0.5926,0.113523,-0.805469,-0.380065,0.001365,0.001387,6948.476435,4726.821304,1.001002
"theta_t_zerosum__[0, 364]",-0.59639,0.252529,-1.086286,-0.141392,0.002806,0.003415,8460.225562,4614.989976,1.001125
"theta_t_zerosum__[0, 365]",-0.570084,0.395189,-1.319887,0.187911,0.003985,0.005852,10310.234864,5179.29939,1.000625
"theta_t_zerosum__[0, 366]",-0.637336,0.260545,-1.137552,-0.149485,0.002385,0.003355,11831.672051,6181.555501,1.000258
"theta_t_zerosum__[0, 367]",-0.758313,0.155722,-1.039053,-0.457707,0.001664,0.001797,8795.098148,5799.210904,1.000089
"theta_t_zerosum__[0, 368]",-0.578196,0.2524,-1.077941,-0.12607,0.002972,0.003315,7588.324106,4915.3941,1.000906
"theta_t_zerosum__[0, 369]",0.153676,0.08694,-0.009954,0.313022,0.000953,0.0011,8319.677912,5131.034651,1.000626
"theta_t_zerosum__[0, 370]",-0.312041,0.132126,-0.563665,-0.066525,0.001594,0.001811,7361.379905,4421.33732,1.000197
"theta_t_zerosum__[0, 371]",0.098987,0.087779,-0.0648,0.266386,0.001094,0.001133,6483.865648,4783.661285,1.000745
"theta_t_zerosum__[0, 372]",0.016748,0.282799,-0.500642,0.571105,0.002972,0.003584,9256.977294,5947.617819,1.000108
"theta_t_zerosum__[0, 373]",-0.360874,0.109066,-0.563415,-0.153401,0.001391,0.001339,6440.627057,4723.086596,1.000713
"theta_t_zerosum__[0, 374]",-1.149309,0.200365,-1.529145,-0.775952,0.002537,0.002893,6589.330764,4556.025677,1.000213
"theta_t_zerosum__[0, 375]",-0.59226,0.124248,-0.827103,-0.360206,0.001442,0.001536,7518.060967,5323.287548,0.999986
"theta_t_zerosum__[0, 376]",-0.795105,0.475713,-1.738742,0.055388,0.005392,0.00554,7921.339052,5799.389204,1.000775
"theta_t_zerosum__[0, 377]",0.274946,0.339211,-0.389055,0.895752,0.003184,0.004239,11362.325429,6341.811261,1.001054
"theta_t_zerosum__[0, 378]",0.126802,0.085853,-0.035181,0.288025,0.001216,0.000978,5047.83689,5322.97476,1.000198
"theta_t_zerosum__[0, 379]",-0.427838,0.139512,-0.691624,-0.169225,0.001712,0.002058,7097.499005,4615.6547,1.000044
"theta_t_zerosum__[0, 380]",-0.093263,0.097927,-0.27933,0.084414,0.001444,0.001068,4717.784778,5753.150582,1.000835
"theta_t_zerosum__[0, 381]",-2.061989,0.259258,-2.57065,-1.602764,0.002657,0.003114,9784.720869,5449.012953,1.000819
"theta_t_zerosum__[0, 382]",-1.721807,0.214895,-2.110266,-1.288195,0.002289,0.002582,8984.801026,5498.567869,1.001206
"theta_t_zerosum__[0, 383]",-0.48291,0.286801,-1.018539,0.053489,0.002974,0.003863,9665.184559,5601.545468,0.999949
"theta_t_zerosum__[0, 384]",-1.066048,0.392468,-1.842951,-0.345092,0.004155,0.005383,9174.427791,5537.89799,1.00116
"theta_t_zerosum__[0, 385]",-0.342357,0.283936,-0.904319,0.166985,0.002756,0.003763,10845.314119,5739.733338,1.001298
"theta_t_zerosum__[0, 386]",-0.609907,0.295072,-1.181338,-0.063194,0.002899,0.003954,10885.152239,5675.315258,1.000203
"theta_t_zerosum__[0, 387]",-1.165541,0.397019,-1.922178,-0.443835,0.003724,0.005543,11962.149577,5671.35577,1.00048
"theta_t_zerosum__[0, 388]",-0.772716,0.296158,-1.344259,-0.242271,0.002967,0.003979,10527.689398,5714.210176,1.000201
"theta_t_zerosum__[0, 389]",-0.288439,0.126173,-0.531635,-0.054074,0.001481,0.001677,7457.479534,5175.06786,1.000786
"theta_t_zerosum__[0, 390]",-0.407784,0.399075,-1.133012,0.377685,0.004003,0.005789,10439.239054,5376.65646,1.000028
"theta_t_zerosum__[0, 391]",-0.27166,0.291624,-0.809994,0.289222,0.00277,0.004061,11335.106245,5145.232995,1.000768
"theta_t_zerosum__[0, 392]",0.050216,0.113825,-0.161037,0.268441,0.00131,0.001607,7742.914327,4966.030436,1.000511
"theta_t_zerosum__[0, 393]",0.074368,0.113035,-0.142095,0.280475,0.001224,0.001642,8645.608978,5016.221169,1.000082
"theta_t_zerosum__[0, 394]",-0.733536,0.328677,-1.327964,-0.094625,0.003022,0.004319,12110.640068,5926.611442,1.000798
"theta_t_zerosum__[0, 395]",-0.237009,0.416085,-1.048718,0.514227,0.004261,0.006308,10211.263953,5060.114456,0.999893
"theta_t_zerosum__[0, 396]",-0.599326,0.148583,-0.872349,-0.314972,0.002063,0.001801,5193.234773,4675.049441,1.000041
"theta_t_zerosum__[0, 397]",-0.350891,0.150317,-0.625468,-0.077858,0.002317,0.004791,5670.608007,3790.724014,1.000481
"theta_t_zerosum__[0, 398]",0.188144,0.250897,-0.261777,0.690051,0.002346,0.002982,11473.881998,6037.119939,1.000224
"theta_t_zerosum__[0, 399]",0.188568,0.111404,-0.028488,0.392325,0.001302,0.001425,7402.561745,5640.65095,1.000377
"theta_t_zerosum__[0, 400]",0.078913,0.116544,-0.137656,0.298282,0.001728,0.001644,4865.534007,4000.733565,1.000466
"theta_t_zerosum__[0, 401]",-0.31262,0.108904,-0.523803,-0.115849,0.001263,0.00133,7502.04079,5594.472161,1.000071
"theta_t_zerosum__[0, 402]",-0.30286,0.127757,-0.554526,-0.071138,0.001902,0.001738,4908.762897,3995.755019,1.000017
"theta_t_zerosum__[0, 403]",-0.305985,0.128785,-0.550421,-0.061128,0.001524,0.001804,7220.559947,5259.03641,1.000252
"theta_t_zerosum__[0, 404]",-0.199437,0.13762,-0.456401,0.06189,0.001903,0.002579,5877.517565,3760.01984,1.000098
"theta_t_zerosum__[0, 405]",0.257774,0.103799,0.05823,0.454526,0.001151,0.001448,8273.746417,5366.518342,1.000112
"theta_t_zerosum__[0, 406]",0.080727,0.123303,-0.160995,0.308159,0.001705,0.001829,5534.509385,4266.123196,1.001234
"theta_t_zerosum__[0, 407]",-0.229938,0.121795,-0.462749,-0.003874,0.001526,0.001654,6414.335088,5120.702167,1.000981
"theta_t_zerosum__[0, 408]",-0.263492,0.126345,-0.496099,-0.018081,0.001466,0.001629,7470.186345,5082.551799,1.000427
