,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"theta_zsn_t_zerosum__[0, 293]",1.085794,0.356723,0.345128,1.696742,0.004734,0.005667,6107.147478,4530.22657,1.001136
"theta_zsn_t_zerosum__[0, 294]",1.3879,0.203251,1.00525,1.765179,0.002009,0.002157,10222.507311,6411.689858,1.000608
"theta_zsn_t_zerosum__[0, 295]",2.01802,0.138032,1.76056,2.282043,0.001797,0.001613,6020.949264,5674.929006,1.000109
"theta_zsn_t_zerosum__[0, 296]",1.761759,0.125242,1.533714,2.002847,0.001645,0.001572,5970.485934,5033.403518,1.000804
"theta_zsn_t_zerosum__[0, 297]",1.982949,0.11273,1.781048,2.198151,0.001663,0.001233,4649.185388,5908.401451,0.99996
"theta_zsn_t_zerosum__[0, 298]",2.096481,0.145292,1.822796,2.371201,0.001861,0.001674,6272.871436,5255.87922,1.000063
"theta_zsn_t_zerosum__[0, 299]",1.632736,0.118303,1.417146,1.861256,0.001461,0.001434,6707.588965,5803.409501,1.001064
"theta_zsn_t_zerosum__[0, 300]",1.858971,0.224869,1.4458,2.280752,0.002638,0.002491,7464.352101,5454.609172,1.000023
"theta_zsn_t_zerosum__[0, 301]",2.01331,0.144328,1.744084,2.279563,0.001755,0.00192,6751.234273,5375.043464,1.000406
"theta_zsn_t_zerosum__[0, 302]",-0.614637,0.193096,-0.96723,-0.242571,0.002085,0.002285,8669.084277,5722.62124,1.000544
"theta_zsn_t_zerosum__[0, 303]",0.004371,0.205019,-0.37572,0.388395,0.001851,0.002248,12237.355382,6223.326103,1.000362
"theta_zsn_t_zerosum__[0, 304]",-0.915776,0.509907,-1.882673,-0.024169,0.005449,0.006007,9412.042003,5793.203728,1.000226
"theta_zsn_t_zerosum__[0, 305]",-0.385433,0.338363,-1.035384,0.239416,0.003347,0.004215,10257.042507,5876.26344,0.999772
"theta_zsn_t_zerosum__[0, 306]",-0.483133,0.240988,-0.919353,-0.009192,0.002385,0.002964,10273.408529,5193.382736,1.000545
"theta_zsn_t_zerosum__[0, 307]",-0.748757,0.387958,-1.500153,-0.020456,0.003675,0.00541,11139.43432,5007.056362,1.000606
"theta_zsn_t_zerosum__[0, 308]",-0.444316,0.249618,-0.904317,0.04377,0.002439,0.003027,10537.25528,5744.565287,1.000216
"theta_zsn_t_zerosum__[0, 309]",-1.59893,0.207507,-1.986887,-1.199195,0.002154,0.002389,9235.310228,6166.500222,1.000083
"theta_zsn_t_zerosum__[0, 310]",-1.44789,0.279307,-1.982171,-0.94536,0.002821,0.003652,10436.666658,5450.249444,1.000054
"theta_zsn_t_zerosum__[0, 311]",-0.918482,0.277552,-1.451178,-0.410567,0.002784,0.003195,10082.409545,6246.539182,1.000399
"theta_zsn_t_zerosum__[0, 312]",-0.169799,0.250439,-0.632535,0.304583,0.002369,0.002915,11302.20488,6063.6112,1.001013
"theta_zsn_t_zerosum__[0, 313]",-0.248849,0.399657,-0.98288,0.50947,0.003917,0.00533,10847.975834,5979.777803,1.000475
"theta_zsn_t_zerosum__[0, 314]",0.079117,0.167861,-0.23499,0.393104,0.001642,0.001862,10450.59824,6400.702068,1.000518
"theta_zsn_t_zerosum__[0, 315]",-0.646118,0.625869,-1.872751,0.501835,0.007505,0.007823,7042.865517,5345.729806,1.000575
"theta_zsn_t_zerosum__[0, 316]",0.450347,0.094025,0.267443,0.624063,0.001157,0.001295,6596.189484,5123.592142,1.001053
"theta_zsn_t_zerosum__[0, 317]",0.403798,0.093239,0.226479,0.575481,0.001294,0.001451,5329.902044,3890.837384,1.000158
"theta_zsn_t_zerosum__[0, 318]",-0.910028,0.506179,-1.845447,0.018927,0.005776,0.006833,8703.117678,5320.744897,1.000116
"theta_zsn_t_zerosum__[0, 319]",-0.390898,0.260693,-0.86558,0.106574,0.00277,0.002996,8901.999705,5640.646043,1.000094
"theta_zsn_t_zerosum__[0, 320]",0.737389,0.081949,0.574523,0.884239,0.0011,0.000974,5592.449807,4980.173626,1.000835
"theta_zsn_t_zerosum__[0, 321]",0.789815,0.257857,0.30434,1.259518,0.004249,0.002892,3854.535904,5247.096144,1.001527
"theta_zsn_t_zerosum__[0, 322]",1.049816,0.218458,0.632318,1.448189,0.00228,0.002558,9163.685747,5751.774438,1.000582
"theta_zsn_t_zerosum__[0, 323]",0.41321,0.330954,-0.21064,1.008453,0.003416,0.004823,10629.577137,5353.925008,1.000219
"theta_zsn_t_zerosum__[0, 324]",1.242219,0.270291,0.740432,1.7446,0.002646,0.003606,10707.402046,5694.771964,1.00156
"theta_zsn_t_zerosum__[0, 325]",1.340407,0.195864,0.973782,1.708792,0.002099,0.002236,8762.699525,5886.398481,1.000145
"theta_zsn_t_zerosum__[0, 326]",0.922021,0.081258,0.776218,1.079931,0.001247,0.001037,4363.350684,4963.328127,1.000126
"theta_zsn_t_zerosum__[0, 327]",0.39992,0.268921,-0.128253,0.885119,0.003385,0.003704,6796.044416,4811.049545,1.000273
