scope,quantity,unit,median,frac_undefined,hdi50_low,hdi50_high,hdi80_low,hdi80_high
public,slope_diff_minus_all,ECI-H / yr,0.06421098035542272,0.0,-1.9199238046930587,2.142385685245519,-3.5690148042379772,3.891542985699279
semi_private,slope_diff,ECI-H / yr,6.636657938025399,0.0,5.2601253474951815,8.096000768328366,4.004355120417431,9.400405723882331
semi_private,slope_diff_minus_all,ECI-H / yr,-4.422082004251044,0.0,-6.128088451964436,-2.6171922342625575,-7.721624065614109,-0.9186358080954448
private,slope_diff,ECI-H / yr,4.384727250692311,0.0,2.162767070661128,6.618797578074218,0.022054302028465353,8.759376663141438
private,slope_diff_minus_all,ECI-H / yr,-6.68428063112686,0.0,-9.246731111294526,-4.156731282654671,-11.463256462482386,-1.9028092979131237
all,gap_today,ECI-H,23.281388438300738,0.0,21.847051780535224,24.815479639801204,20.57908723675577,26.248014538476085
public,gap_today,ECI-H,23.542808474151244,0.0,21.177946512216828,26.074481828072123,19.029126337013402,28.316307122456482
public,gap_today_minus_all,ECI-H,0.3155641289525022,0.0,-2.6057925576547376,3.1257601986473844,-5.270077804423557,5.6728439238425885
semi_private,gap_today,ECI-H,16.733117813953896,0.0,14.757239583338993,18.738489779645086,12.887984873289062,20.68700572253314
semi_private,gap_today_minus_all,ECI-H,-6.60458059899301,0.0,-9.13533256197482,-4.059579644653709,-11.143093926005358,-1.676179016179566
private,gap_today,ECI-H,14.804769031397441,0.0,12.076256556985463,17.507818102645338,9.53204741321442,19.920191348083794
private,gap_today_minus_all,ECI-H,-8.605410839706252,0.0,-11.661150833360487,-5.497716366498345,-14.467840077962185,-2.763576152235391
all,lag_today,months,16.70552029758087,0.0,15.059492295915167,18.565637179896214,13.779991483972525,20.37485465942178
public,lag_today,months,16.728522390070744,0.0,14.175975468300976,19.520409310573452,12.215286720988678,22.439727043469507
public,lag_today_minus_all,months,-0.09217766579342257,0.0,-3.240279182053562,3.234727054660022,-6.024641140432974,6.4618036847729226
semi_private,lag_today,months,11.506420919198739,0.0,9.721923586941863,13.517407320497497,8.195764517536542,15.756633377173596
semi_private,lag_today_minus_all,months,-5.242068268016199,0.0,-7.816729586420706,-2.6178770382893086,-10.129809627956185,-0.002942200963879135
private,lag_today,months,9.076054468365781,0.0,7.125097645095213,11.28212742636494,5.466042245577688,13.455361271538802
private,lag_today_minus_all,months,-7.6556612151559245,0.0,-10.337014061096411,-4.908818547956268,-12.774161051163723,-2.4715192446672605
all,envelope_lag_latest_record,months,3.3182751540034587,0.0,3.2854209445586093,3.3182751540034587,3.2854209445586093,5.289527720738079
public,envelope_lag_latest_record,months,5.289527720738079,0.0,5.289527720738079,7.885010266941208,4.8295687885020016,11.268993839837094
public,envelope_lag_latest_record_minus_all,months,2.0041067761794693,0.0,1.97125256673462,4.402464065708045,0.0328542094448494,7.950718685833635
semi_private,envelope_lag_latest_record,months,2.759753593430105,0.0006249999999999867,2.759753593430105,2.759753593430105,1.2156057494867127,4.369609856263196
semi_private,envelope_lag_latest_record_minus_all,months,-0.5256673511285044,0.0006249999999999867,-2.0698151950718966,-0.5256673511285044,-2.5297741273079737,1.0841889117045866
private,envelope_lag_latest_record,months,5.749486652979613,0.0006249999999999867,3.679671457907716,15.901437371664542,2.135523613964324,16.6242299794676
private,envelope_lag_latest_record_minus_all,months,2.004106776182198,0.0006249999999999867,-0.1642710472269755,12.254620123204404,-2.1355236139615954,13.305954825464141
all,envelope_lag_last_12m_mean,months,7.223232619537287,0.0,6.5896157230860934,8.049281314169352,6.087415664418196,9.415077735406287
public,envelope_lag_last_12m_mean,months,8.36139630390162,0.0,7.546611909651347,9.20657084188981,7.007802874743265,10.105954825462469
public,envelope_lag_last_12m_mean_minus_all,months,1.0656497506603175,0.0,-0.060780287474959005,2.1872689938400196,-1.3809562921679952,3.3512232326191027
semi_private,envelope_lag_last_12m_mean,months,6.129656790848458,0.0,5.649750660018526,6.647110589616432,5.190965092403452,7.162687004987714
semi_private,envelope_lag_last_12m_mean_minus_all,months,-1.1358169551187007,0.0,-2.0088002346724676,-0.29920797887936224,-3.323437958344793,0.3806394837197343
private,envelope_lag_last_12m_mean,months,11.17864476386137,0.0,10.332648870637655,12.110882956879522,9.658726899385261,12.985626283368674
