benchmark,axis,category,gate_median,hdi_low,hdi_high,survived
PRBench Finance,Knowledge,Domain Specific Questions,0.15616237127899507,4.2878120024953666e-07,1.2117720853110334,False
FrontierMath Tier 4,Knowledge,High End Math Reasoning,0.15431422157091726,3.910858773668758e-06,1.4079890005784532,False
PRBench Legal,Knowledge,Domain Specific Questions,0.15269607570906774,3.101630890427908e-05,1.3648955831386256,False
WMDP Chemistry,Knowledge,Chemistry,0.1431749726584574,6.421828359723439e-05,1.9307717932651207,False
Video-MME,Knowledge,Multimodal Understanding,0.1424944275345461,5.605623053634625e-06,0.7673051157373433,False
SEAL Tool Use (Enterprise),Knowledge,Agentic Computer Use,0.14040780585858,0.0002067857470811277,2.7253774846413017,False
LAB-Bench LitQA2,Knowledge,Biology,0.13616414763347162,8.723379663881105e-05,1.5503217676575305,False
LAMBADA,Knowledge,General Reasoning,0.13455522527496533,0.0003777505368372202,1.4501468226763887,False
MultiChallenge,Knowledge,Advanced Language and Writing,0.1297189376536163,0.00010106835893044816,1.4610088712519054,False
DeepResearchBench,Knowledge,Agentic Computer Use,0.12427096174774382,1.359660572540085e-05,0.9931122384876903,False
WeirdML,Knowledge,Autonomous SWE,0.12089795179251987,1.8855622831211432e-06,0.773630369075315,False
TutorBench,Knowledge,Advanced Language and Writing,0.10538367857594252,0.0025922803297627204,1.8760817249789856,False
LAB-Bench Protocol,Knowledge,Biology,0.10012483000405914,4.75012155863857e-05,0.7550096768340265,False
Lech Mazur Writing,Knowledge,Advanced Language and Writing,0.09762786527391715,1.1300018274606438e-06,1.2953391934948941,False
METR Time Horizons,Knowledge,Autonomous SWE,0.07420216900290079,0.00036388645568954025,3.69801665063956,False
SWE-Bench Verified,Knowledge,Autonomous SWE,0.061629623122646526,8.2573601285494e-05,0.9211248578709054,False
SEAL Instruction Following,Knowledge,Advanced Language and Writing,0.060376857428848914,1.1819054007537012e-05,0.9535563881021771,False
PIQA,Knowledge,General Reasoning,0.049445770755826055,0.016695090838176267,0.1945911916924637,False
WMDP Biology,Knowledge,Biology,0.031236205135209527,0.0001345298830676006,0.2724853945811851,False
Aider Polyglot,Reasoning,Autonomous SWE,3.2761034732979946,0.24785373935920965,11.54394250166987,True
ARC-AGI,Reasoning,Core AGI Progress,1.627221880261593,0.82386386553965,3.063681563316934,True
APEX Agents,Reasoning,Core AGI Progress,1.3508242352976967,0.271552600572367,4.3074403236388425,True
SWE-Bench Verified,Reasoning,Autonomous SWE,1.2112699356607521,0.0007971099539965042,4.549683809156772,True
CAD-Eval,Reasoning,Multimodal Understanding,1.2066285445231268,0.1628349373097485,4.710339083808717,True
FrontierMath,Reasoning,High End Math Reasoning,1.0795028257104926,0.42462603294900514,1.9421772158153106,True
Cybench,Reasoning,Agentic Computer Use,1.0434865595839509,0.21753545902437973,2.1486411812192734,True
GSO-Bench,Reasoning,Autonomous SWE,1.0104184654035127,0.09901440722190392,2.0545496999716564,True
The Agent Company,Reasoning,Agentic Computer Use,0.9484665906960978,1.3775747831255262e-05,2.8985963280767,True
EnigmaEval,Reasoning,General Reasoning,0.9040031433455011,0.00012841394148083,2.7652084982047667,True
HellaSwag,Reasoning,General Reasoning,0.8682399796119284,0.06602012316430025,4.253279830739994,True
FrontierMath Tier 4,Reasoning,High End Math Reasoning,0.6559644167374141,0.310014909409327,1.2964142803690755,True
SWE-Bench Pro (Private),Reasoning,Autonomous SWE,0.6528433306146646,0.0010077362836543673,1.2626161854039784,True
TerminalBench,Reasoning,Agentic Computer Use,0.6037335108719126,0.10745421350146182,1.6524235669581475,True
MultiNRC,Reasoning,Advanced Language and Writing,0.5805957729618065,0.0005270578328767268,1.5667368397509625,True
SimpleBench,Reasoning,General Reasoning,0.575487995966834,0.021930868917462366,1.0008988095556526,True
Fiction.LiveBench,Reasoning,Advanced Language and Writing,0.5674695037635733,0.008876644706905988,1.820758465723724,True
LiveBench,Reasoning,Core AGI Progress,0.5587187910727884,1.8250610351177036e-05,2.3244384005383103,True
Visual Task Assessment (VISTA),Reasoning,Multimodal Understanding,0.4582214876319599,2.920033330084574e-05,2.8251356484246615,True
PostTrainBench,Reasoning,Autonomous SWE,0.45745086881150193,0.0021374627946525943,1.4501860474443176,True
BALROG,Reasoning,General Reasoning,0.45641363742486474,0.00040823668009347207,2.1225962103801437,True
BioLP-bench,Reasoning,Biology,0.439834079231141,6.406549647245675e-05,1.7283055179083555,True
SWE-Bench Pro,Reasoning,Autonomous SWE,0.43530636092226604,1.3665169511648139e-05,1.7710895084978595,True
LAB-Bench Cloning,Reasoning,Biology,0.426814103004182,0.00010966631221527177,2.084330029881427,True
Remote Labor Index,Reasoning,Core AGI Progress,0.4147261616894595,9.745118770848814e-05,0.7619114869616977,True
WeirdML,Reasoning,Autonomous SWE,0.39837279354572536,0.0723042967347109,5.200691125398126,True
METR Time Horizons,Reasoning,Autonomous SWE,0.3940716642774551,0.04916371541324316,2.130072814963989,True
Humanity's Last Exam,Reasoning,Domain Specific Questions,0.39094507937248146,0.040867583036463886,0.8887060628892274,True
TriviaQA,Reasoning,Domain Specific Questions,0.38839035956431867,4.8864813442324456e-05,1.8939444642062628,True
MultiChallenge,Reasoning,Advanced Language and Writing,0.35834587013478003,1.0854605965491557e-05,2.33801383578318,True
AudioMultiChallenge,Reasoning,Multimodal Understanding,0.3393901988288993,7.344127504436901e-05,0.9762445576834192,True
VisualToolBench,Reasoning,Multimodal Understanding,0.3307139809705615,0.00041468230623726985,1.3274199912328875,True
SEAL Tool Use (Enterprise),Reasoning,Agentic Computer Use,0.32550829952658455,0.00021543376546078217,3.2180913749024156,True
MMLU Pro Chemistry,Reasoning,Chemistry,0.30587943721149635,2.5083542971174075e-05,2.8047745757339526,True
LAB-Bench Protocol,Reasoning,Biology,0.3047265252612775,0.00022548993012327164,1.4588654282640938,True
OTIS Mock AIME 2024-2025,Reasoning,High End Math Reasoning,0.2988281728175972,1.3415662873340488e-05,3.096387296944011,True
MATH Level 5,Reasoning,High End Math Reasoning,0.29006085068340787,2.3636152401127684e-06,5.230459510551707,True
TutorBench,Reasoning,Advanced Language and Writing,0.2778438669470918,3.761666203113449e-05,2.217885400910317,True
